,wass_loss_G,wass_loss_D
0,-0.49788546562194824,0.02023226022720337
1,-0.4981392025947571,-0.028502970933914185
2,-0.4990048110485077,-0.09236612915992737
3,-0.5018697381019592,-0.1835019588470459
4,-0.5072141885757446,-0.268688440322876
5,-0.5144681930541992,-0.32264918088912964
6,-0.5229469537734985,-0.35816723108291626
7,-0.5323294997215271,-0.3793531060218811
8,-0.5429894924163818,-0.38370227813720703
9,-0.5522460341453552,-0.38563036918640137
10,-0.561630368232727,-0.3863444924354553
11,-0.5733814239501953,-0.3806580901145935
12,-0.5800873041152954,-0.3757902979850769
13,-0.5877621173858643,-0.368915855884552
14,-0.5953516364097595,-0.36267608404159546
15,-0.6030505299568176,-0.3561963438987732
16,-0.6112988591194153,-0.3456283211708069
17,-0.6161385774612427,-0.3421415686607361
18,-0.6212849617004395,-0.33365368843078613
19,-0.626359224319458,-0.3284056782722473
20,-0.630850076675415,-0.32135605812072754
21,-0.636944055557251,-0.31276994943618774
22,-0.6420530080795288,-0.30600589513778687
23,-0.6426770091056824,-0.3033950924873352
24,-0.6504252552986145,-0.29209035634994507
25,-0.6542492508888245,-0.2872476577758789
26,-0.6574548482894897,-0.27990061044692993
27,-0.6669658422470093,-0.2684417963027954
28,-0.6645020842552185,-0.2682175040245056
29,-0.6775520443916321,-0.2531030774116516
30,-0.6734600067138672,-0.25538843870162964
31,-0.6864330172538757,-0.23924410343170166
32,-0.6842656135559082,-0.23837822675704956
33,-0.6907443404197693,-0.22924059629440308
34,-0.6933504343032837,-0.2255157232284546
35,-0.7027320265769958,-0.21286368370056152
36,-0.7071682810783386,-0.2055037021636963
37,-0.709551990032196,-0.2009384036064148
38,-0.7093683481216431,-0.20134711265563965
39,-0.721807062625885,-0.18716126680374146
40,-0.714137852191925,-0.1933889389038086
41,-0.7256660461425781,-0.17933356761932373
42,-0.7284484505653381,-0.17645961046218872
43,-0.7246929407119751,-0.17850756645202637
44,-0.732456624507904,-0.16740179061889648
45,-0.7386032938957214,-0.15997833013534546
46,-0.7409789562225342,-0.15566468238830566
47,-0.7408996820449829,-0.15394151210784912
48,-0.7447940111160278,-0.14738696813583374
49,-0.7502566576004028,-0.14097082614898682
50,-0.7612167000770569,-0.12613731622695923
51,-0.7544090151786804,-0.13141775131225586
52,-0.7569665908813477,-0.13060909509658813
53,-0.7600997090339661,-0.12350314855575562
54,-0.7622089385986328,-0.1221664547920227
55,-0.7655439376831055,-0.11512678861618042
56,-0.758292019367218,-0.12161082029342651
57,-0.7662194967269897,-0.11423903703689575
58,-0.7660908102989197,-0.10951757431030273
59,-0.7701051235198975,-0.10413879156112671
60,-0.7690125703811646,-0.10626167058944702
61,-0.7706238627433777,-0.10384708642959595
62,-0.7771067023277283,-0.09329020977020264
63,-0.7723870277404785,-0.09875696897506714
64,-0.7738734483718872,-0.09618371725082397
65,-0.7786992192268372,-0.08851033449172974
66,-0.7807322144508362,-0.08847105503082275
67,-0.7747589349746704,-0.09282177686691284
68,-0.7819198369979858,-0.08368629217147827
69,-0.7793398499488831,-0.08431392908096313
70,-0.7841829061508179,-0.0774875283241272
71,-0.784083366394043,-0.0784447193145752
72,-0.7872419357299805,-0.07165569067001343
73,-0.794167160987854,-0.06457066535949707
74,-0.785493016242981,-0.07210355997085571
75,-0.783815324306488,-0.0711483359336853
76,-0.7798739671707153,-0.07651722431182861
77,-0.7797313928604126,-0.07391661405563354
78,-0.7757195234298706,-0.07702314853668213
79,-0.7827483415603638,-0.06867152452468872
80,-0.7828768491744995,-0.0639045238494873
81,-0.7783777117729187,-0.06742733716964722
82,-0.7735697031021118,-0.07151216268539429
83,-0.7795370817184448,-0.061920225620269775
84,-0.7775372266769409,-0.06490731239318848
85,-0.7796592116355896,-0.05834740400314331
86,-0.7746752500534058,-0.061689019203186035
87,-0.7732771635055542,-0.060650646686553955
88,-0.7739561796188354,-0.05808013677597046
89,-0.7749606966972351,-0.05836373567581177
90,-0.7779035568237305,-0.05279642343521118
91,-0.7762337923049927,-0.055178701877593994
92,-0.7734034657478333,-0.0516853928565979
93,-0.7733762264251709,-0.05151963233947754
94,-0.7738650441169739,-0.052569448947906494
95,-0.7710860371589661,-0.05173462629318237
96,-0.772233784198761,-0.05077826976776123
97,-0.7663302421569824,-0.05600005388259888
98,-0.7716478109359741,-0.051140666007995605
99,-0.7675287127494812,-0.049727797508239746
100,-0.7692452669143677,-0.04792112112045288
101,-0.7681854963302612,-0.04829961061477661
102,-0.7660332918167114,-0.04960060119628906
103,-0.7667169570922852,-0.04592013359069824
104,-0.7629803419113159,-0.04490762948989868
105,-0.7630195617675781,-0.04356563091278076
106,-0.757025957107544,-0.0517725944519043
107,-0.7587931156158447,-0.04495811462402344
108,-0.7477673292160034,-0.04910188913345337
109,-0.7550203204154968,-0.04225510358810425
110,-0.7526121139526367,-0.043420255184173584
111,-0.7529265880584717,-0.04423642158508301
112,-0.7450774908065796,-0.042210400104522705
113,-0.7436416745185852,-0.04389828443527222
114,-0.7409578561782837,-0.04489701986312866
115,-0.7388560771942139,-0.04056590795516968
116,-0.7441152930259705,-0.04089123010635376
117,-0.7376465797424316,-0.04394638538360596
118,-0.7372813820838928,-0.04132497310638428
119,-0.7381141185760498,-0.03668570518493652
120,-0.72972571849823,-0.038358986377716064
121,-0.7329855561256409,-0.040609002113342285
122,-0.7280166149139404,-0.03627288341522217
123,-0.727446436882019,-0.04137617349624634
124,-0.7293402552604675,-0.041239261627197266
125,-0.7195413112640381,-0.03843283653259277
126,-0.7218504548072815,-0.04026162624359131
127,-0.7224937677383423,-0.03871649503707886
128,-0.7219477295875549,-0.03838372230529785
129,-0.7173306941986084,-0.03902173042297363
130,-0.7213701605796814,-0.04234492778778076
131,-0.7170414328575134,-0.03827404975891113
132,-0.7168309092521667,-0.03716850280761719
133,-0.7155178189277649,-0.038020193576812744
134,-0.7103586196899414,-0.042495548725128174
135,-0.7100702524185181,-0.03464239835739136
136,-0.706896960735321,-0.03576159477233887
137,-0.7065388560295105,-0.03824692964553833
138,-0.7074190378189087,-0.03574413061141968
139,-0.7044299840927124,-0.038829147815704346
140,-0.7151755690574646,-0.033065199851989746
141,-0.7078986167907715,-0.0386691689491272
142,-0.7077329754829407,-0.03587806224822998
143,-0.6923247575759888,-0.035842061042785645
144,-0.6987019181251526,-0.03789794445037842
145,-0.6950389742851257,-0.035355985164642334
146,-0.683262050151825,-0.03634291887283325
147,-0.6918576955795288,-0.03656113147735596
148,-0.6950553059577942,-0.03739142417907715
149,-0.6789394021034241,-0.036653220653533936
150,-0.6655318737030029,-0.036663711071014404
151,-0.6766517162322998,-0.044015705585479736
152,-0.6746463775634766,-0.0377810001373291
153,-0.6721454858779907,-0.03642374277114868
154,-0.6743966341018677,-0.036956727504730225
155,-0.667331874370575,-0.036286771297454834
156,-0.6708160638809204,-0.03720122575759888
157,-0.6643784046173096,-0.03621035814285278
158,-0.6635078191757202,-0.03728842735290527
159,-0.661493718624115,-0.03802841901779175
160,-0.6570069789886475,-0.03903234004974365
161,-0.6590965986251831,-0.038208603858947754
162,-0.6464317440986633,-0.03827404975891113
163,-0.654209315776825,-0.034625887870788574
164,-0.653841495513916,-0.03644758462905884
165,-0.6415908336639404,-0.03850656747817993
166,-0.6333242058753967,-0.03622037172317505
167,-0.6400896310806274,-0.04068213701248169
168,-0.6378556489944458,-0.03806412220001221
169,-0.6360026001930237,-0.036654114723205566
170,-0.6319608688354492,-0.042669475078582764
171,-0.6352015137672424,-0.039739370346069336
172,-0.6235120296478271,-0.041046082973480225
173,-0.6240568161010742,-0.04308032989501953
174,-0.625739336013794,-0.039564549922943115
175,-0.6186861991882324,-0.04475879669189453
